Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
Huobi Token,HT,$14.74,"$619,572,234","$2,754,805,668",-3.04%,-2.20%,-11.88%
FTX Token,FTT,$28.27,"$50,985,614","$2,667,654,849",-2.06%,-1.31%,0.08%
Neo,NEO,$36.88,"$618,927,395","$2,601,545,058",-2.35%,0.33%,-3.10%
Dai,DAI,$1.00,"$257,344,384","$2,574,287,468",-0.03%,-0.04%,-0.02%
Synthetix,SNX,$20.30,"$104,847,995","$2,330,718,853",-2.53%,-0.32%,6.09%
Elrond,EGLD,$135.50,"$119,262,768","$2,312,761,392",-4.74%,-5.60%,-8.49%
Algorand,ALGO,$1.02,"$307,958,853","$2,276,004,122",-2.48%,-1.74%,0.27%
Filecoin,FIL,$39.10,"$589,507,308","$2,244,727,501",-2.39%,-1.24%,4.56%
Compound,COMP,$471.97,"$213,851,440","$2,196,037,404",-3.27%,5.58%,12.05%
The Graph,GRT,$1.76,"$193,970,196","$2,190,792,707",-2.65%,0.53%,2.76%
Maker,MKR,"$2,077.54","$64,232,728","$2,067,652,208",-2.48%,-1.06%,3.83%
Dash,DASH,$201.45,"$674,329,943","$2,016,606,209",-2.24%,-1.48%,-5.59%
SushiSwap,SUSHI,$15.93,"$416,000,523","$2,026,876,445",-2.76%,-0.76%,-0.42%
Avalanche,AVAX,$24.12,"$151,178,954","$2,007,776,993",-2.62%,-1.81%,-8.41%
UNUS SED LEO,LEO,$1.87,"$1,943,788","$1,869,600,272",-0.42%,0.75%,-9.23%
Kusama,KSM,$217.68,"$137,117,468","$1,843,769,294",-4.07%,-1.86%,-4.70%
Decred,DCR,$144.31,"$26,599,838","$1,829,181,251",-1.88%,2.19%,4.63%
PancakeSwap,CAKE,$11.16,"$143,268,615","$1,437,015,030",-2.04%,1.62%,-1.80%
Zcash,ZEC,$119.78,"$396,261,661","$1,350,249,756",-1.09%,1.35%,-0.95%
THORChain,RUNE,$5.44,"$51,754,040","$1,295,138,106",-6.18%,6.21%,19.05%
Ethereum Classic,ETC,$10.75,"$865,577,752","$1,250,156,032",-2.77%,0.97%,-3.25%
Zilliqa,ZIL,$0.1123,"$96,866,337","$1,237,139,385",-2.65%,-0.93%,-4.20%
Ravencoin,RVN,$0.1491,"$134,413,405","$1,233,918,810",-1.84%,-0.41%,-1.30%
Voyager Token,VGX,$5.49,"$10,374,707","$1,219,513,923",-2.33%,-1.76%,-5.80%
NEAR Protocol,NEAR,$3.96,"$45,819,484","$1,220,551,474",-4.52%,-4.82%,-6.64%
Bitcoin BEP2,BTCB,"$47,595.97","$18,112,902","$1,204,043,344",-1.31%,0.42%,0.77%
BitTorrent,BTT,$0.001209,"$253,518,347","$1,196,596,918",-3.09%,-1.98%,-6.67%
UMA,UMA,$20.73,"$39,459,960","$1,164,395,420",-2.26%,2.83%,4.64%
yearn.finance,YFI,"$31,586.21","$184,268,757","$1,157,158,958",-2.12%,1.83%,-1.84%
Nexo,NEXO,$1.98,"$11,176,375","$1,111,342,058",-0.98%,-6.99%,-1.43%
Fantom,FTM,$0.4332,"$124,323,532","$1,102,377,970",-4.00%,-5.83%,-13.84%
Bancor,BNT,$7.36,"$329,196,487","$1,096,259,332",-4.54%,13.42%,47.90%
SwissBorg,CHSB,$1.16,"$16,097,640","$1,092,765,359",-2.80%,5.74%,30.00%
Celsius,CEL,$4.53,"$5,734,156","$1,082,570,545",-2.28%,1.16%,-3.82%
Hedera Hashgraph,HBAR,$0.1404,"$125,087,904","$1,055,430,823",-2.63%,-5.32%,15.83%
Revain,REV,$0.01232,"$4,885,679","$1,047,713,264",-0.05%,-0.31%,0.07%
ICON,ICX,$1.75,"$105,877,900","$1,037,703,150",-3.41%,-3.07%,11.26%
Polygon,MATIC,$0.2085,"$215,624,470","$1,035,523,759",-3.70%,2.84%,-1.32%
Waves,WAVES,$9.78,"$129,162,313","$1,022,030,811",-3.10%,6.74%,0.06%
Ren,REN,$1.03,"$93,911,781","$1,024,229,827",-2.83%,0.63%,-2.98%
0x,ZRX,$1.33,"$152,446,896","$1,013,231,535",-2.83%,-0.35%,-1.77%
OKB,OKB,$16.59,"$257,432,557","$995,381,842",-2.87%,-1.62%,-8.47%
Basic Attention Token,BAT,$0.6417,"$317,185,090","$955,708,133",-3.19%,-4.30%,19.67%
Enjin Coin,ENJ,$1.11,"$409,146,438","$925,978,002",-3.35%,-6.50%,89.02%
Stacks,STX,$1.12,"$32,462,639","$831,535,568",-3.31%,-8.41%,6.04%
renBTC,RENBTC,"$47,331.27","$10,848,561","$809,753,882",-1.95%,0.53%,0.72%
Ontology,ONT,$1.00,"$440,526,154","$808,964,482",-3.56%,7.01%,10.02%
TerraUSD,UST,$0.998,"$45,362,115","$767,179,859",-0.14%,-0.13%,-0.22%
DigiByte,DGB,$0.05268,"$60,019,671","$742,602,289",-3.39%,-4.13%,-4.55%
Flow,FLOW,$32.04,"$102,529,666","$746,544,342",-0.35%,-15.67%,57.33%
IOST,IOST,$0.04401,"$434,813,792","$720,694,957",-3.89%,-7.22%,10.49%
Theta Fuel,TFUEL,$0.1351,"$52,292,143","$709,856,725",-5.26%,-11.72%,40.69%
Celo,CELO,$3.79,"$16,295,410","$699,634,797",-1.37%,1.35%,-4.78%
HUSD,HUSD,$1.00,"$1,185,387,214","$688,316,995",0.07%,-0.02%,0.19%
Loopring,LRC,$0.5513,"$62,510,477","$673,329,416",-3.09%,5.70%,4.36%
Nano,NANO,$5.05,"$23,687,705","$673,263,077",-1.45%,-2.45%,-4.46%
Paxos Standard,PAX,$1.00,"$57,584,449","$675,633,824",0.15%,-0.02%,0.14%
OMG Network,OMG,$4.58,"$238,033,729","$642,221,548",-3.46%,1.63%,0.26%
Qtum,QTUM,$6.02,"$630,372,014","$591,032,919",-2.49%,7.19%,11.87%
ZKSwap,ZKS,$2.91,"$131,550,519","$575,320,398",-8.80%,-19.11%,-6.00%
Chiliz,CHZ,$0.105,"$530,819,797","$571,435,178",-0.18%,-8.68%,93.03%
Decentraland,MANA,$0.3488,"$179,627,683","$549,167,524",-3.64%,-6.84%,37.02%
Reserve Rights,RSR,$0.05731,"$222,241,106","$535,871,588",-4.75%,0.72%,3.63%
1inch,1INCH,$3.64,"$72,265,162","$524,392,219",-2.97%,0.26%,-16.77%
Holo,HOT,$0.003053,"$213,137,842","$512,750,361",-1.56%,1.72%,10.32%
Siacoin,SC,$0.01037,"$29,072,888","$489,693,543",-3.91%,0.70%,2.03%
Bitcoin Gold,BTG,$27.36,"$35,187,716","$479,238,404",-1.78%,0.94%,2.96%
Pundi X,NPXS,$0.001974,"$75,789,054","$465,758,282",-3.96%,2.59%,-9.07%
Curve DAO Token,CRV,$1.94,"$126,033,644","$466,189,206",-5.39%,-3.26%,-2.21%
Arweave,AR,$13.94,"$13,869,455","$465,416,294",-0.55%,-1.63%,29.49%
Horizen,ZEN,$41.85,"$20,259,129","$453,370,471",-2.77%,0.16%,-16.41%
Ocean Protocol,OCEAN,$1.07,"$32,899,262","$449,323,838",-3.87%,-5.53%,18.35%
Energy Web Token,EWT,$14.75,"$3,530,760","$443,414,344",-1.98%,-9.03%,14.30%
Reef,REEF,$0.03826,"$105,817,324","$431,166,649",-4.86%,-0.83%,23.30%
Kyber Network,KNC,$1.99,"$139,519,356","$408,266,387",-5.05%,-6.94%,17.82%
Golem,GLM,$0.3949,"$48,730,080","$394,909,630",-3.88%,11.06%,9.49%
Lisk,LSK,$3.06,"$32,126,820","$389,918,075",-3.54%,3.08%,-1.57%
Quant,QNT,$32.55,"$7,436,946","$393,009,337",-0.67%,2.65%,-5.56%
DODO,DODO,$3.87,"$28,445,517","$382,518,905",-3.01%,-2.66%,-9.65%
HedgeTrade,HEDG,$1.10,"$107,691","$382,707,881",-0.81%,-0.30%,-4.36%
Verge,XVG,$0.0212,"$22,721,351","$348,351,699",-1.75%,2.58%,16.22%
Badger DAO,BADGER,$45.72,"$28,209,146","$340,858,374",-2.73%,-0.89%,-4.54%
Harmony,ONE,$0.03642,"$136,577,931","$337,720,460",-5.09%,13.68%,34.49%
KuCoin Token,KCS,$4.19,"$9,984,193","$335,449,740",-3.67%,-2.25%,-13.10%
Venus,XVS,$37.23,"$74,134,929","$326,033,854",-10.78%,-8.45%,-27.91%
Augur,REP,$27.78,"$15,436,976","$305,584,754",-4.99%,2.20%,0.63%
Ampleforth,AMPL,$1.03,"$17,117,990","$303,247,612",2.02%,17.60%,26.15%
TrustSwap,SWAP,$3.71,"$8,362,782","$298,677,930",-1.88%,-8.26%,-11.80%
Status,SNT,$0.0848,"$26,281,117","$294,306,594",-2.92%,0.15%,-0.83%
TrueUSD,TUSD,$1.00,"$83,998,854","$292,502,846",0.04%,-0.01%,0.01%
Helium,HNT,$3.93,"$2,393,338","$286,917,746",-2.01%,-0.34%,0.83%
Alpha Finance Lab,ALPHA,$1.64,"$112,139,150","$285,698,039",-5.58%,-0.47%,27.05%
Fetch.ai,FET,$0.3563,"$52,261,764","$265,857,779",-4.22%,-5.73%,38.17%
NuCypher,NU,$0.6585,"$28,845,614","$263,710,869",-1.92%,-0.09%,-7.85%
Nervos Network,CKB,$0.01087,"$22,191,363","$262,817,005",1.35%,8.13%,-7.92%
IoTeX,IOTX,$0.02721,"$20,353,850","$262,462,232",-1.33%,0.43%,17.15%
Balancer,BAL,$36.81,"$68,945,054","$255,605,841",-2.57%,5.59%,-1.72%
Civic,CVC,$0.3784,"$32,142,853","$253,495,754",-1.76%,2.25%,5.10%
Band Protocol,BAND,$12.24,"$80,653,617","$250,797,723",-3.05%,-1.51%,-3.54%
Polkastarter,POLS,$4.13,"$67,992,815","$246,476,669",-3.28%,1.81%,0.87%
Polymath,POLY,$0.401,"$23,719,812","$238,787,354",-3.66%,-3.13%,15.06%
Serum,SRM,$4.79,"$118,800,944","$239,734,729",-3.72%,3.51%,-13.39%
Kava.io,KAVA,$3.70,"$35,270,200","$216,733,899",-3.78%,-5.43%,0.99%
Ankr,ANKR,$0.03198,"$43,091,335","$207,781,144",-4.41%,-6.00%,18.46%
MaidSafeCoin,MAID,$0.4543,"$1,321,936","$205,610,050",-0.84%,3.80%,13.70%
Swipe,SXP,$2.29,"$165,118,330","$200,202,685",-2.96%,-1.63%,0.49%
Ardor,ARDR,$0.1972,"$12,253,458","$197,047,058",-2.69%,3.83%,18.44%
FunFair,FUN,$0.03006,"$2,048,104","$196,863,219",-3.51%,3.15%,-0.25%
Secret,SCRT,$2.82,"$2,166,829","$196,631,006",-3.68%,-0.60%,-11.48%
Gnosis,GNO,$130.25,"$1,553,819","$195,970,900",-1.65%,3.46%,2.79%
Aragon,ANT,$4.91,"$26,156,386","$194,565,429",-2.77%,-4.23%,17.99%
Bitcoin Diamond,BCD,$1.00,"$2,356,265","$187,221,048",-1.44%,-0.85%,-1.06%
ZB Token,ZB,$0.3984,"$15,640,746","$184,580,618",-0.68%,-0.46%,-3.71%
Numeraire,NMR,$38.63,"$8,597,263","$184,650,470",-2.45%,-0.79%,-1.20%
saffron.finance,SFI,"$2,350.13","$8,607,230","$182,892,166",-2.66%,3.81%,11.77%
RSK Infrastructure Framework,RIF,$0.2581,"$2,542,840","$180,476,781",-3.52%,-3.08%,7.36%
Injective Protocol,INJ,$11.41,"$24,537,093","$178,680,123",-3.52%,-4.47%,-7.61%
Bitcoin Standard Hashrate Token,BTCST,$303.57,"$22,844,195","$178,921,596",-3.08%,-0.89%,-20.42%
Komodo,KMD,$1.42,"$8,621,142","$176,497,802",-3.25%,6.38%,8.05%
Ark,ARK,$1.36,"$25,698,264","$174,184,828",-2.38%,8.23%,0.59%
VeThor Token,VTHO,$0.005295,"$15,050,797","$174,552,409",-5.28%,0.73%,17.02%
Orchid,OXT,$0.4621,"$17,980,690","$169,846,050",-4.25%,0.46%,-0.78%
Oasis Network,ROSE,$0.113,"$3,276,551","$169,500,813",-2.12%,0.64%,13.60%
Unibright,UBT,$1.11,"$3,684,839","$167,119,145",-1.05%,-1.08%,-6.07%
Stratis,STRAX,$1.30,"$3,339,768","$167,555,894",0.92%,-2.15%,9.93%
Storj,STORJ,$0.6589,"$33,040,099","$166,373,539",-2.64%,4.21%,3.88%
Telcoin,TEL,$0.003175,"$1,907,755","$162,788,089",-2.15%,-1.46%,-3.16%
Steem,STEEM,$0.4332,"$14,300,245","$163,034,156",-2.59%,1.36%,-6.61%
WAX,WAXP,$0.1086,"$16,937,115","$166,042,279",-1.08%,-6.02%,37.30%
ABBC Coin,ABBC,$0.1979,"$37,146,695","$162,946,416",-1.25%,-1.01%,-3.67%
COTI,COTI,$0.2399,"$60,313,633","$160,657,072",-2.86%,-10.08%,13.51%
SingularityNET,AGI,$0.1801,"$1,126,837","$155,829,116",-3.79%,-1.64%,-11.54%
district0x,DNT,$0.2577,"$10,312,958","$154,629,534",-1.62%,-1.85%,8.29%
Populous,PPT,$2.91,"$16,320,023","$154,851,166",5.66%,27.15%,67.20%
Utrust,UTK,$0.3327,"$6,572,834","$149,693,678",-3.93%,-3.78%,-3.13%
Celer Network,CELR,$0.02812,"$43,403,676","$150,358,199",-7.50%,-2.61%,22.89%
BitShares,BTS,$0.04988,"$16,689,511","$149,394,975",-3.67%,5.49%,13.48%
aelf,ELF,$0.273,"$27,671,679","$148,660,478",-2.79%,2.73%,6.74%
BORA,BORA,$0.1727,"$151,109,972","$147,344,130",-2.94%,10.21%,9.76%
Dent,DENT,$0.001632,"$8,091,305","$148,397,436",-3.41%,-2.25%,-5.87%
Vai,VAI,$0.9955,"$4,030,450","$147,921,532",0.05%,0.20%,0.26%
OriginTrail,TRAC,$0.4145,"$749,876","$145,392,170",-1.36%,-0.15%,-1.51%
TomoChain,TOMO,$1.80,"$14,378,574","$144,847,277",-2.74%,-1.75%,-8.36%
Litentry,LIT,$7.91,"$27,090,590","$144,400,096",-4.04%,5.65%,-4.23%
Hifi Finance,MFT,$0.01432,"$21,982,817","$143,168,382",-4.49%,4.03%,4.88%
Wanchain,WAN,$0.7957,"$5,527,006","$134,494,061",-3.37%,2.01%,-1.57%
CyberVein,CVT,$0.1265,"$3,031,664","$134,135,262",-0.26%,-1.37%,8.69%
Syntropy,NOIA,$0.4072,"$1,530,252","$133,816,473",-1.25%,5.57%,1.77%
Kin,KIN,$0.00008797,"$591,876","$133,553,075",0.34%,-4.45%,-6.76%
iExec RLC,RLC,$1.63,"$8,575,302","$130,222,416",-5.45%,1.73%,12.88%
Travala.com,AVA,$2.49,"$6,211,450","$127,204,674",-3.01%,-1.15%,-12.49%
Power Ledger,POWR,$0.2939,"$12,653,422","$127,038,964",-2.47%,0.53%,34.07%
MonaCoin,MONA,$1.89,"$7,259,498","$124,364,191",-1.95%,0.64%,2.64%
Loom Network,LOOM,$0.1267,"$25,374,324","$122,981,335",-3.68%,-4.12%,3.28%
PAX Gold,PAXG,"$1,707.82","$6,454,274","$123,878,792",-0.30%,0.22%,-2.16%
JUST,JST,$0.05417,"$278,613,733","$122,452,862",-4.37%,4.08%,11.48%
Gemini Dollar,GUSD,$0.9962,"$12,082,226","$119,551,403",0.02%,-0.18%,-0.46%
Origin Protocol,OGN,$0.4456,"$53,060,883","$115,489,697",-4.14%,1.98%,59.46%
Hive,HIVE,$0.2805,"$9,157,101","$112,360,212",-1.20%,-0.12%,-2.42%
Unifi Protocol DAO,UNFI,$32.64,"$25,230,624","$110,880,696",-3.59%,4.36%,-5.61%
Bytom,BTM,$0.07817,"$22,728,976","$110,486,791",-2.12%,0.70%,-5.10%
Gas,GAS,$10.90,"$21,690,835","$110,408,378",-1.71%,-0.58%,5.37%
GateToken,GT,$1.40,"$4,870,234","$110,208,410",-1.61%,1.62%,-1.27%
ReddCoin,RDD,$0.003913,"$1,360,524","$112,731,855",-1.92%,-3.23%,-5.91%
Haven Protocol,XHV,$7.84,"$428,135","$109,525,131",-0.94%,-4.62%,14.94%
Divi,DIVI,$0.05264,"$575,755","$114,883,209",6.34%,8.03%,66.91%
Wootrade,WOO,$0.2777,"$26,881,250","$105,531,919",-1.03%,-6.49%,-14.72%
Syscoin,SYS,$0.1696,"$5,553,882","$103,080,076",-0.82%,5.78%,14.28%
Uquid Coin,UQC,$10.00,"$12,406,841","$99,992,901",-3.48%,-2.14%,20.88%
Handshake,HNS,$0.2828,"$673,059","$101,623,464",0.60%,-2.27%,-8.00%
